"layer","database","host_module","pathway_id","pathway","p.adjust","genes","n_genes"
"Epigenetics","GO_BP","Module_106__membrane_assembly","GO:0031579","membrane raft organization",0.00918537447538217,"ABCA7;ANXA2;CAV1;CAV2;CAV3;CD2;COL6A1;COLEC12;DOCK2;EMP2;FA2H;FLOT1;GSN;ILK;IQGAP1;LAT;MAL;MIR138-1;MYADM;PACSIN2;PTPRC;RFTN1;S100A10;YJEFN3",24
"Epigenetics","GO_BP","Module_107__camera_morphogenesis","GO:0061299","retina vasculature morphogenesis in camera-type eye",0.00786299925460337,"ARHGEF15;CLIC4;COL4A1;CYP1B1;FZD4;LAMA1;LRP5;NDP;NRP1;RHOJ",10
"Epigenetics","GO_BP","Module_108__lymphocyte_lymphoid","GO:0097021","lymphocyte migration into lymphoid organs",0.00786299925460337,"ARTN;CCR7;CRTAM;EXT1;FUT4;FUT7;LRP12;NEDD9;RET;WNK1",10
"Epigenetics","GO_BP","Module_109__aggregation_cartilage","GO:0001502","cartilage condensation",0.00823900937738734,"BARX2;BMP1;BMPR1B;COL11A1;COL2A1;FGF4;FGF6;MAPK14;MYF5;OTOR;PKD1;SOX5;SOX6;SOX9;TGFB2;THRA;UNCX;WNT7A",18
"Epigenetics","GO_BP","Module_109__aggregation_cartilage","GO:0098743","cell aggregation",0.0184299709617502,"BARX2;BMP1;BMPR1B;COL11A1;COL2A1;FGF4;FGF6;MAPK14;MPZ;MYF5;OTOR;PKD1;SOX5;SOX6;SOX9;TGFB2;THRA;TMIGD1;UNCX;WNT7A",20
"Epigenetics","GO_BP","Module_10__receptor_factor","GO:0001503","ossification",7.390987518071e-13,"ACHE;ACTN3;ACVR1;ACVR1B;ACVR2A;ACVR2B;ADAMTS12;ADAMTS7;ADAR;ADCY10;ADRB2;AHSG;AKT1;ALOX15;ALOX5;ALPL;AMELX;ANKH;ANO6;ASF1A;ATP2B1;ATP6V0A4;ATP6V1B1;AXIN2;BAMBI;BCL2;BCOR;BMP1;BMP2;BMP3;BMP4;BMP6;BMP7;BMP8A;BMP8B;BMPR1A;BMPR1B;BMPR2;CALCR;CASR;CBFB;CCDC134;CCDC154;CCDC47;CCR1;CDH11;CDK6;CEBPA;CHRD;CHRDL1;CHRDL2;CHSY1;CITED1;CLEC11A;CLEC5A;CLIC1;CLTC;COL13A1;COL1A1;COL1A2;COL2A1;COL6A1;COMP;CREB3L1;CRIM1;CSF1;CSGALNACT1;CTHRC1;CYP24A1;CYP27B1;DCHS1;DDR2;DDX21;DDX5;DHH;DHRS3;DKK1;DLX5;EGFR;EGR2;ENPP1;EPHA2;ERCC2;EXT1;EXT2;FAM20C;FASN;FBN2;FBXL15;FBXO5;FGF18;FGF2;FGF23;FGF9;FGFR2;FGFR3;FGR;FHL2;FKRP;FOSL2;FOXC1;FOXC2;FZD1;FZD9;GABBR1;GALNT3;GATA1;GDF10;GDF2;GDF5;GDPD2;GFRA4;GIT1;GLI1;GLI2;GLI3;GPC3;GPLD1;GPM6B;GREM1;HAND2;HDAC7;HERC1;HGF;HNRNPU;HOXA2;ID1;ID4;IFITM1;IFITM5;IGF1;IGF2;IGFBP2;IGFBP3;IGFBP5;IGSF10;IHH;IL6;IL6R;ILK;ITGA11;JAG1;KL;KLF10;KREMEN1;KREMEN2;LEF1;LEP;LGR4;LIMD1;LRP3;LRP4;LRP5;LRRC17;LTBP3;MAP2K6;MAPK11;MAPK14;MAPK3;MATN1;MEF2C;MINPP1;MIR100;MIR125B1;MIR138-1;MIR17;MIR18A;MIR200C;MIR205;MIR208A;MIR20A;MIR21;MIR210;MIR214;MIR27A;MIR30B;MIR346;MIR675;MIR9-1;MIR93;MMP13;MMP14;MMP16;MMP2;MN1;MRC2;MSX2;MYBBP1A;MYF5;MYOC;MYOG;NAB2;NBR1;NELL1;NF1;NOTCH1;NOTUM;NPPC;NPR2;NR1I3;OSR1;OSR2;OXT;P2RX7;PANX3;PBX1;PDLIM7;PENK;PEX7;PHEX;PHOSPHO1;PKDCC;PLXNB1;PPARG;PPP3CA;PRICKLE1;PRKACA;PRKD1;PRMT3;PTCH1;PTH1R;PTHLH;PTK2;PTK2B;PTN;PTPN11;PTPRB;RANBP3L;RASSF2;RBMX;RBPJ;RDH14;REST;RIPPLY2;RORB;RRBP1;RSPO2;RUNX1;RUNX2;RUNX3;RXRA;RXRB;RYR1;S1PR1;SATB2;SBNO2;SCUBE3;SEMA4D;SEMA7A;SFRP1;SFRP2;SGMS2;SHH;SHOX2;SIX2;SKI;SLC20A2;SLC24A3;SLC34A1;SLC8A1;SMAD2;SMAD3;SMAD5;SMAD6;SMAD7;SMAD9;SMO;SMOC1;SMPD3;SNAI2;SND1;SNX10;SORT1;SOST;SOX11;SOX2;SOX8;SOX9;SRGN;SUFU;SUV39H1;TAC1;TACR1;TAPT1;TCIRG1;TFAP2A;THBS3;THRA;TMEM119;TMEM53;TMEM64;TNC;TNF;TNFAIP6;TNFSF11;TOB1;TP53INP2;TP63;TPM4;TRPM4;TUFT1;TWIST1;TWIST2;TWSG1;UCMA;VCAN;VEGFA;VEGFC;WNT10B;WNT11;WNT3;WNT3A;WNT4;WNT5A;WNT7B;WWOX;WWTR1;XYLT1;YAP1;ZBTB16;ZBTB40;ZHX3",322
"Epigenetics","GO_BP","Module_10__receptor_factor","GO:0071772","response to BMP",1.22114617290795e-12,"ABL1;ACVR1;ACVR2A;ACVR2B;ACVRL1;ADAMTS12;ADAMTS7;AMHR2;BAMBI;BMP10;BMP2;BMP4;BMP6;BMP7;BMP8A;BMP8B;BMPER;BMPR1A;BMPR1B;BMPR2;CAV1;CDH5;CHRD;CHRDL1;CHRDL2;COL2A1;COMP;CRB2;CRIM1;DAND5;DDX5;DKK1;DLX1;DLX3;DLX5;EGR1;ENG;ETV2;EXT1;FBN1;FBXL15;FKBP8;FOXD1;FST;FSTL1;FSTL4;FSTL5;FZD1;GATA3;GATA4;GATA5;GATA6;GDF1;GDF2;GDF3;GDF5;GDF6;GDF7;GPC3;GPR155;GREM1;GREM2;HES5;HEYL;HIPK2;HOXA13;HTRA1;HTRA3;ID1;ILK;ITGA3;KCP;KDR;LEF1;LEFTY1;LEFTY2;LRP2;MAPK3;MEGF8;MIR100;MIR125B1;MIR195;MIR199A1;MIR199B;MIR20A;MIR21;MIR210;MIR214;MIR26A1;MIR30B;MIR885;MIR93;MSX1;MSX2;MTMR4;NBL1;NFIA;NGLY1;NOTCH1;NOTCH2;NUMA1;PCSK6;PELO;PHOX2B;POU5F1;PPARG;PRMT1;RBPJ;RBPMS2;RGMA;RGMB;RUNX2;SCUBE3;SFRP1;SFRP2;SFRP4;SKI;SMAD2;SMAD5;SMAD6;SMAD7;SMAD9;SMPD3;SMURF1;SORL1;SOST;SOSTDC1;SOX11;SOX9;SPINT1;SPINT2;SULF1;TBX20;TFAP2B;TGFBR3;TMEM100;TMEM119;TMEM53;TMPRSS6;TNFAIP6;TOB1;TWSG1;UBE2D1;UBE2O;USP15;VSTM2A;VWC2;VWC2L;WNT1;WNT5A;XIAP;ZNF423;ZNF8",153
"Epigenetics","GO_BP","Module_10__receptor_factor","GO:0071773","cellular response to BMP stimulus",1.22114617290795e-12,"ABL1;ACVR1;ACVR2A;ACVR2B;ACVRL1;ADAMTS12;ADAMTS7;AMHR2;BAMBI;BMP10;BMP2;BMP4;BMP6;BMP7;BMP8A;BMP8B;BMPER;BMPR1A;BMPR1B;BMPR2;CAV1;CDH5;CHRD;CHRDL1;CHRDL2;COL2A1;COMP;CRB2;CRIM1;DAND5;DDX5;DKK1;DLX1;DLX3;DLX5;EGR1;ENG;ETV2;EXT1;FBN1;FBXL15;FKBP8;FOXD1;FST;FSTL1;FSTL4;FSTL5;FZD1;GATA3;GATA4;GATA5;GATA6;GDF1;GDF2;GDF3;GDF5;GDF6;GDF7;GPC3;GPR155;GREM1;GREM2;HES5;HEYL;HIPK2;HOXA13;HTRA1;HTRA3;ID1;ILK;ITGA3;KCP;KDR;LEF1;LEFTY1;LEFTY2;LRP2;MAPK3;MEGF8;MIR100;MIR125B1;MIR195;MIR199A1;MIR199B;MIR20A;MIR21;MIR210;MIR214;MIR26A1;MIR30B;MIR885;MIR93;MSX1;MSX2;MTMR4;NBL1;NFIA;NGLY1;NOTCH1;NOTCH2;NUMA1;PCSK6;PELO;PHOX2B;POU5F1;PPARG;PRMT1;RBPJ;RBPMS2;RGMA;RGMB;RUNX2;SCUBE3;SFRP1;SFRP2;SFRP4;SKI;SMAD2;SMAD5;SMAD6;SMAD7;SMAD9;SMPD3;SMURF1;SORL1;SOST;SOSTDC1;SOX11;SOX9;SPINT1;SPINT2;SULF1;TBX20;TFAP2B;TGFBR3;TMEM100;TMEM119;TMEM53;TMPRSS6;TNFAIP6;TOB1;TWSG1;UBE2D1;UBE2O;USP15;VSTM2A;VWC2;VWC2L;WNT1;WNT5A;XIAP;ZNF423;ZNF8",153
"Epigenetics","GO_BP","Module_10__receptor_factor","GO:0007178","cell surface receptor protein serine/threonine kinase signaling pathway",3.85166702510134e-12,"ABL1;ACVR1;ACVR1B;ACVR1C;ACVR2A;ACVR2B;ACVRL1;ADAMTSL2;AKAP3;AKAP4;AMH;AMHR2;APPL1;ARID4B;ATOH8;AXIN1;BAMBI;BCL9L;BECN1;BMP10;BMP15;BMP2;BMP3;BMP4;BMP6;BMP7;BMP8A;BMP8B;BMPER;BMPR1A;BMPR1B;BMPR2;BRMS1;CAV1;CAV2;CAV3;CD109;CDH3;CDH5;CDKN1C;CDKN2B;CHRD;CHRDL1;CHRDL2;CHST11;CIDEA;CILP;CITED1;CLDN5;COL1A2;COL3A1;COMP;CRB2;CREBBP;CRIM1;CSNK2B;DAB2;DACT2;DAND5;DDX5;DKK1;DKK3;DLX1;DLX3;DLX5;DMRT1;DUSP22;ECSIT;EGR1;EMILIN1;ENG;ETV2;EXT1;FBN1;FBN2;FBXL15;FERMT1;FGF10;FGF9;FKBP1A;FKBP8;FLCN;FMOD;FOLR1;FOS;FOXD1;FOXH1;FSHB;FST;FSTL1;FSTL4;FSTL5;FURIN;FZD1;GATA4;GCNT2;GDF1;GDF10;GDF11;GDF15;GDF2;GDF3;GDF5;GDF6;GDF7;GDF9;GPC3;GPR155;GREM1;GREM2;HDAC1;HES5;HIPK2;HOXA13;HPGD;HTRA1;HTRA3;HTRA4;ID1;IGSF1;IL13;IL13RA2;IL17F;IL17RD;ILK;INHA;INHBA;INHBB;INHBC;INTS9;ITGA3;ITGA8;ITGB5;ITGB6;KCP;KDR;KIAA0319;LATS2;LEF1;LEFTY1;LEFTY2;LPXN;LRG1;LRP1;LRP2;LRRC32;LTBP1;LTBP2;LTBP3;LTBP4;MAGI2;MAP1LC3A;MAPK14;MAPK3;MEGF8;MIR100;MIR125B1;MIR130A;MIR145;MIR17;MIR183;MIR18A;MIR195;MIR199A1;MIR199B;MIR19A;MIR19B1;MIR204;MIR205;MIR20A;MIR21;MIR210;MIR214;MIR23A;MIR26A1;MIR26B;MIR27A;MIR30A;MIR30B;MIR372;MIR373;MIR376C;MIR424;MIR483;MIR497;MIR520C;MIR564;MIR885;MIR9-1;MIR93;MIRLET7B;MSX1;MSX2;MTMR4;MYOCD;NBL1;NCLN;NDP;NFIA;NGLY1;NKX2-1;NLK;NODAL;NOTCH1;NOTCH2;NUMA1;NUP93;ONECUT1;ONECUT2;OVOL2;PARP1;PBLD;PCSK6;PDPK1;PEG10;PELO;PMEPA1;PML;POU5F1;PPARG;PPM1L;PRDM16;PRMT1;PSG9;PTK2;PTPRK;PXN;RBBP4;RBBP7;RBPJ;RBPMS;RBPMS2;RGMA;RGMB;RNF111;RUNX2;SCUBE3;SFRP1;SFRP2;SFRP4;SH2B1;SHH;SKI;SLC2A10;SMAD2;SMAD3;SMAD5;SMAD6;SMAD7;SMAD9;SMPD3;SMURF1;SNX25;SORL1;SOST;SOSTDC1;SOX11;SPI1;SPRED2;SPRED3;SPRY1;SPRY2;SPTBN1;SRC;STAT3;STK11;STRAP;SULF1;TBX20;TET1;TFAP2B;TGFB1I1;TGFB2;TGFBR1;TGFBR2;TGFBR3;TGIF1;TGIF2;THBS1;TMEM100;TMEM119;TMEM53;TMPRSS6;TNFAIP6;TOB1;TP53;TSC22D1;TSKU;TTK;TWSG1;UBE2D1;UBE2O;UCMA;USP15;VASN;VEPH1;VWC2;VWC2L;WFIKKN1;WFIKKN2;WNT1;WNT5A;WWTR1;XIAP;ZBTB7A;ZC3H3;ZEB1;ZEB2;ZFYVE9;ZMIZ1;ZNF423;ZNF703;ZNF8;ZYX",314
"Epigenetics","GO_BP","Module_10__receptor_factor","GO:0090287","regulation of cellular response to growth factor stimulus",7.60744926222722e-11,"ABL1;ACVRL1;ADAMTS12;ADAMTS3;ADAMTSL2;AGT;ANGPT1;APLN;ARID4B;ARNT;ATP2B4;AXIN1;BAMBI;BCL9L;BMP2;BMP4;BMPER;BRMS1;CASK;CAV1;CAV2;CAV3;CCBE1;CD109;CD63;CDH3;CDH5;CDKN1C;CDKN2B;CFLAR;CHRD;CHRDL1;CHRDL2;CHST11;CIDEA;CILP;CITED1;CRB2;CREB3L1;CREBBP;CRIM1;CYFIP1;CYFIP2;DAB2IP;DAND5;DCN;DKK1;DKK3;DLL1;DLX1;DMD;DOK5;EMILIN1;ENG;EPN2;FAM20C;FBN1;FBN2;FBXL15;FERMT1;FGF1;FGF10;FGF16;FGF18;FGF2;FGF4;FGF9;FGFBP1;FKBP1A;FKBP8;FLCN;FOLR1;FOXD1;FST;FSTL1;FSTL4;FSTL5;FUZ;FZD1;FZD4;GATA3;GATA4;GDF15;GDF2;GDF3;GDF5;GPC1;GPC3;GPR155;GRB10;GREM1;GREM2;HDAC1;HES5;HGS;HHEX;HHIP;HIPK2;HOXA13;HRG;HTRA1;HTRA3;HTRA4;IL12A;IL12B;IL17F;IL17RD;IL1B;ILK;INTS9;ITGA3;ITGA5;ITGA8;ITGB1;ITGB3;KCP;KDR;LATS2;LRG1;LRP2;LRRC32;LTBP1;LTBP4;MIR1-1;MIR100;MIR125B1;MIR145;MIR149;MIR17;MIR18A;MIR195;MIR199A1;MIR199B;MIR19A;MIR19B1;MIR200C;MIR204;MIR20A;MIR21;MIR210;MIR214;MIR26A1;MIR296;MIR30B;MIR329-1;MIR372;MIR373;MIR376C;MIR424;MIR497;MIR503;MIR520C;MIR564;MIR885;MIR9-1;MIR93;MIRLET7B;MMRN2;MSX1;MSX2;MT3;MTMR4;MYOCD;NBL1;NGFR;NGLY1;NKX2-1;NOTCH1;NOTCH2;NPTN;NR2F2;NRP1;NRXN1;NUMA1;ONECUT1;ONECUT2;OTX2;OVOL2;PBLD;PCSK6;PDCD6;PDPK1;PEG10;PELO;PIK3CB;PMEPA1;PPARG;PRDM14;PRDM16;PRKCB;PRKD2;PRMT1;PROX1;PTP4A3;PTPN1;RBBP4;RBBP7;RBPJ;RBPMS2;RGMA;RNF111;ROBO1;RUNX2;SCUBE3;SEMA6A;SFRP1;SFRP2;SFRP4;SHISA2;SKI;SLC2A10;SLIT2;SMAD2;SMAD3;SMAD6;SMAD7;SMOC2;SMURF1;SNX25;SORL1;SOST;SOSTDC1;SOX11;SPRED2;SPRED3;SPRY1;SPRY2;SPRY4;STK11;STRAP;SULF1;SULF2;TBX20;TET1;TFAP2B;TGFB1I1;TGFBR3;THBS1;TMEM108;TMEM204;TMEM53;TMPRSS6;TNFAIP6;TNXB;TOB1;TP53;TSC22D1;TSPAN32;TWSG1;UBE2D1;UBE2O;USP15;VASN;VEGFA;VEGFB;VEGFC;VEPH1;VTN;VWC2;VWC2L;WFIKKN1;WFIKKN2;WNT1;WNT4;WNT5A;XIAP;ZBTB7A;ZDHHC17;ZEB1;ZEB2;ZNF423;ZNF703",272
"Epigenetics","GO_BP","Module_10__receptor_factor","GO:0030509","BMP signaling pathway",1.46858308124363e-10,"ABL1;ACVR1;ACVR2A;ACVR2B;ACVRL1;AMHR2;BAMBI;BMP10;BMP2;BMP4;BMP6;BMP7;BMP8A;BMP8B;BMPER;BMPR1A;BMPR1B;BMPR2;CAV1;CDH5;CHRD;CHRDL1;CHRDL2;COMP;CRB2;CRIM1;DAND5;DDX5;DKK1;DLX1;DLX3;DLX5;EGR1;ENG;ETV2;EXT1;FBN1;FBXL15;FKBP8;FOXD1;FST;FSTL1;FSTL4;FSTL5;FZD1;GATA4;GDF1;GDF2;GDF3;GDF5;GDF6;GDF7;GPC3;GPR155;GREM1;GREM2;HES5;HIPK2;HOXA13;HTRA1;HTRA3;ID1;ILK;ITGA3;KCP;KDR;LEF1;LEFTY1;LEFTY2;LRP2;MAPK3;MEGF8;MIR100;MIR125B1;MIR195;MIR199A1;MIR199B;MIR20A;MIR21;MIR210;MIR214;MIR26A1;MIR885;MIR93;MSX1;MSX2;MTMR4;NBL1;NFIA;NGLY1;NOTCH1;NOTCH2;NUMA1;PCSK6;PELO;POU5F1;PPARG;PRMT1;RBPJ;RBPMS2;RGMA;RGMB;RUNX2;SCUBE3;SFRP1;SFRP2;SFRP4;SKI;SMAD2;SMAD5;SMAD6;SMAD7;SMAD9;SMPD3;SMURF1;SORL1;SOST;SOSTDC1;SOX11;SULF1;TBX20;TFAP2B;TGFBR3;TMEM100;TMEM119;TMEM53;TMPRSS6;TNFAIP6;TOB1;TWSG1;UBE2D1;UBE2O;USP15;VWC2;VWC2L;WNT1;WNT5A;XIAP;ZNF423;ZNF8",140
"Epigenetics","GO_BP","Module_10__receptor_factor","GO:0141091","transforming growth factor beta receptor superfamily signaling pathway",3.06103822975498e-10,"ABL1;ACVR1;ACVR1B;ACVR1C;ACVR2A;ACVR2B;ACVRL1;ADAMTSL2;AMHR2;APPL1;ARID4B;AXIN1;BAMBI;BCL9L;BMP10;BMP2;BMP4;BMP6;BMP7;BMP8A;BMP8B;BMPER;BMPR1A;BMPR1B;BMPR2;BRMS1;CAV1;CAV2;CAV3;CD109;CDH3;CDH5;CDKN1C;CDKN2B;CHRD;CHRDL1;CHRDL2;CHST11;CIDEA;CILP;CITED1;CLDN5;COL1A2;COL3A1;COMP;CRB2;CREBBP;CRIM1;CSNK2B;DAB2;DACT2;DAND5;DDX5;DKK1;DKK3;DLX1;DLX3;DLX5;DMRT1;DUSP22;EGR1;EMILIN1;ENG;ETV2;EXT1;FBN1;FBN2;FBXL15;FERMT1;FGF10;FGF9;FKBP1A;FKBP8;FLCN;FMOD;FOLR1;FOS;FOXD1;FOXH1;FSHB;FST;FSTL1;FSTL4;FSTL5;FURIN;FZD1;GATA4;GCNT2;GDF1;GDF10;GDF11;GDF15;GDF2;GDF3;GDF5;GDF6;GDF7;GDF9;GPC3;GPR155;GREM1;GREM2;HDAC1;HES5;HIPK2;HOXA13;HPGD;HTRA1;HTRA3;HTRA4;ID1;IGSF1;IL13;IL13RA2;IL17F;IL17RD;ILK;INHBA;INHBB;INTS9;ITGA3;ITGA8;ITGB5;ITGB6;KCP;KDR;LATS2;LEF1;LEFTY1;LEFTY2;LPXN;LRG1;LRP2;LRRC32;LTBP1;LTBP2;LTBP3;LTBP4;MAGI2;MAPK3;MEGF8;MIR100;MIR125B1;MIR145;MIR17;MIR183;MIR18A;MIR195;MIR199A1;MIR199B;MIR19A;MIR19B1;MIR204;MIR20A;MIR21;MIR210;MIR214;MIR26A1;MIR30A;MIR30B;MIR372;MIR373;MIR376C;MIR424;MIR497;MIR520C;MIR564;MIR885;MIR9-1;MIR93;MIRLET7B;MSX1;MSX2;MTMR4;MYOCD;NBL1;NCLN;NDP;NFIA;NGLY1;NKX2-1;NLK;NODAL;NOTCH1;NOTCH2;NUMA1;ONECUT1;ONECUT2;OVOL2;PARP1;PBLD;PCSK6;PDPK1;PEG10;PELO;PMEPA1;PML;POU5F1;PPARG;PRDM16;PRMT1;PSG9;PTK2;PTPRK;PXN;RBBP4;RBBP7;RBPJ;RBPMS2;RGMA;RGMB;RNF111;RUNX2;SCUBE3;SFRP1;SFRP2;SFRP4;SHH;SKI;SLC2A10;SMAD2;SMAD3;SMAD5;SMAD6;SMAD7;SMAD9;SMPD3;SMURF1;SNX25;SORL1;SOST;SOSTDC1;SOX11;SPI1;SPRED2;SPRED3;SPRY1;SPRY2;SRC;STAT3;STK11;STRAP;SULF1;TBX20;TET1;TFAP2B;TGFB1I1;TGFB2;TGFBR1;TGFBR2;TGFBR3;TGIF1;TGIF2;THBS1;TMEM100;TMEM119;TMEM53;TMPRSS6;TNFAIP6;TOB1;TP53;TSC22D1;TSKU;TWSG1;UBE2D1;UBE2O;USP15;VASN;VEPH1;VWC2;VWC2L;WFIKKN1;WFIKKN2;WNT1;WNT5A;XIAP;ZBTB7A;ZC3H3;ZEB1;ZEB2;ZFYVE9;ZMIZ1;ZNF423;ZNF703;ZNF8;ZYX",286
"Epigenetics","GO_BP","Module_10__receptor_factor","GO:0090092","regulation of transmembrane receptor protein serine/threonine kinase signaling pathway",3.58678094848771e-09,"ABL1;ACVR1;ACVR1B;ACVR2A;ACVR2B;ACVRL1;ADAMTSL2;AMH;ARID4B;ATOH8;AXIN1;BAMBI;BCL9L;BMP10;BMP2;BMP4;BMP6;BMP7;BMPER;BMPR1A;BMPR2;BRMS1;CAV1;CAV2;CAV3;CD109;CDH3;CDH5;CDKN1C;CDKN2B;CHRD;CHRDL1;CHRDL2;CHST11;CIDEA;CILP;CITED1;CRB2;CREBBP;CRIM1;CSNK2B;DAB2;DACT2;DAND5;DKK1;DKK3;DLX1;DMRT1;EMILIN1;ENG;FBN1;FBN2;FBXL15;FERMT1;FGF10;FGF9;FKBP1A;FKBP8;FLCN;FOLR1;FOXD1;FST;FSTL1;FSTL4;FSTL5;FZD1;GATA4;GDF1;GDF11;GDF15;GDF2;GDF3;GDF5;GDF6;GDF7;GPC3;GPR155;GREM1;GREM2;HDAC1;HES5;HIPK2;HOXA13;HTRA1;HTRA3;HTRA4;IGSF1;IL17F;IL17RD;ILK;INHBA;INTS9;ITGA3;ITGA8;KCP;KDR;KIAA0319;LATS2;LRG1;LRP1;LRP2;LRRC32;LTBP1;LTBP4;MAGI2;MIR100;MIR125B1;MIR130A;MIR145;MIR17;MIR18A;MIR195;MIR199A1;MIR199B;MIR19A;MIR19B1;MIR204;MIR205;MIR20A;MIR21;MIR210;MIR214;MIR23A;MIR26A1;MIR26B;MIR27A;MIR30B;MIR372;MIR373;MIR376C;MIR424;MIR483;MIR497;MIR520C;MIR564;MIR885;MIR9-1;MIR93;MIRLET7B;MSX1;MSX2;MTMR4;MYOCD;NBL1;NCLN;NGLY1;NKX2-1;NODAL;NOTCH1;NOTCH2;NUMA1;NUP93;ONECUT1;ONECUT2;OVOL2;PARP1;PBLD;PCSK6;PDPK1;PEG10;PELO;PMEPA1;PPARG;PRDM16;PRMT1;PSG9;RBBP4;RBBP7;RBPJ;RBPMS2;RGMA;RNF111;SCUBE3;SFRP1;SFRP2;SFRP4;SH2B1;SHH;SKI;SLC2A10;SMAD2;SMAD3;SMAD6;SMAD7;SMURF1;SNX25;SORL1;SOST;SOSTDC1;SOX11;SPRED2;SPRED3;SPRY1;SPRY2;STK11;STRAP;SULF1;TBX20;TET1;TFAP2B;TGFB1I1;TGFB2;TGFBR1;TGFBR2;TGFBR3;THBS1;TMEM53;TMPRSS6;TNFAIP6;TOB1;TP53;TSC22D1;TTK;TWSG1;UBE2D1;UBE2O;UCMA;USP15;VASN;VEPH1;VWC2;VWC2L;WFIKKN1;WFIKKN2;WNT1;WNT5A;XIAP;ZBTB7A;ZC3H3;ZEB1;ZEB2;ZNF423;ZNF703",233
