Node,Type
Module_99__apoptotic_leukocyte,HostModule
Module_88__differentiation_pigmentation,HostModule
Module_85__response_acidic,HostModule
Module_84__response_amino,HostModule
Module_61__activity_factor,HostModule
Module_215__healing_wound,HostModule
Module_45__maturation_anatomical,HostModule
Module_205__elongation_transcription,HostModule
Module_202__localization_centrosome,HostModule
Module_164__entry_symbiont,HostModule
Module_136__amide_amyloid,HostModule
Module_106__membrane_assembly,HostModule
Module_232__expression_activation,HostModule
Module_94__angiotensin_response,HostModule
Module_83__response_gonadotropin,HostModule
Module_78__pruning_synapse,HostModule
Module_69__response_metal,HostModule
Module_120__colony_factor,HostModule
Module_210__aminoacylation_activation,HostModule
Module_111__osteoblast_proliferation,HostModule
Module_123__fibroblast_proliferation,HostModule
Module_101__epinephrine_response,HostModule
Module_118__cascade_p38mapk,HostModule
Module_86__apoptotic_involved,HostModule
Module_184__metabolic_alkanesulfonate,HostModule
Module_191__early_endosome,HostModule
Module_200__cortical_cytoskeleton,HostModule
Module_201__polymerase_transcription,HostModule
Module_204__alpha_interferon,HostModule
Module_207__autophagy,HostModule
Module_220__peptidyl_phosphorylation,HostModule
Module_228__netrin,HostModule
Module_233__activated_cancer,HostModule
Module_177__interleukin_production,HostModule
Module_30__absorption_digestion,HostModule
Module_62__dietary_energy,HostModule
Module_68__ganglion_guidance,HostModule
Module_74__differentiation_myoblast,HostModule
Module_82__amyloid_response,HostModule
Module_183__contraction_muscle,HostModule
Module_28__notch,HostModule
Module_163__localization_protein,HostModule
Module_135__interleukin_production,HostModule
Module_157__mediated_phosphate,HostModule
Module_102__maturation_synapse,HostModule
Module_105__autophosphorylation_peptidyl,HostModule
Module_110__potassium_response,HostModule
Module_113__respiratory_exchange,HostModule
Module_117__division_nuclear,HostModule
Module_128__catabolic_receptor,HostModule
Module_109__aggregation_cartilage,HostModule
Module_138__generation,HostModule
Module_141__interleukin_response,HostModule
Module_148__behavior_mating,HostModule
Module_153__hormone_parathyroid,HostModule
Module_154__lipoprotein_localization,HostModule
Module_139__anoikis,HostModule
Module_156__protein_signal,HostModule
Module_214__modification_protein,HostModule
Module_209__autophagy_chaperone,HostModule
Module_211__heterochromatin_organization,HostModule
Module_212__desmosome_organization,HostModule
Module_213__protein_ribosylation,HostModule
Module_218__replicative_senescence,HostModule
Module_216__epsilon_receptor,HostModule
Module_217__chain_fatty,HostModule
Module_219__branching_morphogenesis,HostModule
Module_221__polymerase_transcription,HostModule
Module_206__migration_nuclear,HostModule
Module_208__microautophagy,HostModule
Module_190__differentiation_fiber,HostModule
Module_203__ncrna_processing,HostModule
Module_19__myocarditis_viral,HostModule
Module_197__mediated_proteolysis,HostModule
Module_196__alanine_aspartate,HostModule
Module_194__leptin_response,HostModule
Module_193__cytoplasmic_translation,HostModule
Module_192__localization_membrane,HostModule
Module_223__dependent_migration,HostModule
Module_189__neuropeptide_synaptic,HostModule
Module_188__chemotaxis_muscle,HostModule
Module_187__commitment,HostModule
Module_186__behavioral_ethanol,HostModule
Module_222__behavior_chemosensory,HostModule
Module_231__border_neural,HostModule
Module_224__deacetylation_protein,HostModule
Module_225__catabolic_decay,HostModule
Module_96__development_midgut,HostModule
Module_93__anatomical_regression,HostModule
Module_90__factor_growth,HostModule
Module_89__localization_protein,HostModule
Module_87__forebrain_regionalization,HostModule
Module_81__development_embryonic,HostModule
Module_77__parturition,HostModule
Module_73__vasculogenesis,HostModule
Module_71__estradiol_response,HostModule
Module_70__derived_factor,HostModule
Module_67__adhesion_heterotypic,HostModule
Module_59__ischemia_response,HostModule
Module_58__distal_formation,HostModule
Module_31__complex_polycomb,HostModule
Module_27__endocytosis,HostModule
Module_26__cancer_micrornas,HostModule
Module_25__hippo_multiple,HostModule
Module_235__anchoring_basal,HostModule
Module_234__cadherins_classical,HostModule
Module_182__myoblast_proliferation,HostModule
Module_230__lymphoid_between,HostModule
Module_22__cancer_misregulation,HostModule
Module_229__interleukin,HostModule
Module_227__epidermal_factor,HostModule
Module_226__endosomal_fusion,HostModule
Module_185__plasticity_synaptic,HostModule
Module_173__receptor,HostModule
Module_181__animal_maturation,HostModule
Module_122__proliferation,HostModule
Module_142__fatty_response,HostModule
Module_140__chemical_modulation,HostModule
Module_137__cross_linking,HostModule
Module_134__activation_fibroblast,HostModule
Module_133__development_embryonic,HostModule
Module_132__development_osteoblast,HostModule
Module_131__antibiotic_response,HostModule
Module_130__dephosphorylation_protein,HostModule
Module_127__migration_motor,HostModule
Module_126__dehydroascorbic_transport,HostModule
Module_125__galactose_metabolic,HostModule
Module_121__derived_factor,HostModule
Module_144__activation,HostModule
Module_11__hematopoietic_lineage,HostModule
Module_119__hindbrain_migration,HostModule
Module_116__activity_response,HostModule
Module_115__response,HostModule
Module_114__development_ectoderm,HostModule
Module_112__actin_crosslink,HostModule
Module_108__lymphocyte_lymphoid,HostModule
Module_107__camera_morphogenesis,HostModule
Module_104__magnesium_response,HostModule
Module_103__estrogen_response,HostModule
Module_100__activated_receptor,HostModule
Module_143__expression_involved,HostModule
Module_145__response_water,HostModule
Module_180__division,HostModule
Module_166__pancreatic_proliferation,HostModule
Module_179__adhesion_epithelial,HostModule
Module_178__amide_catabolic,HostModule
Module_176__oxygen_transport,HostModule
Module_175__differentiation_immature,HostModule
Module_174__transition,HostModule
Module_172__inflammatory_involved,HostModule
Module_171__behavior_motor,HostModule
Module_170__modification_structure,HostModule
Module_169__reflex,HostModule
Module_168__commissural_guidance,HostModule
Module_167__response,HostModule
Module_165__adult_development,HostModule
Module_146__coupled_opioid,HostModule
Module_162__calcitonin_family,HostModule
Module_161__behavior_drinking,HostModule
Module_160__transport_urate,HostModule
Module_159__chemical_modulation,HostModule
Module_158__response,HostModule
Module_155__mediated,HostModule
Module_152__beta1_factor,HostModule
Module_151__growth_hormone,HostModule
Module_150__dendritic_differentiation,HostModule
Module_149__arborization_neuron,HostModule
Module_147__morphogenesis,HostModule
Module_97__canal_development,HostModule
Alanine Metabolism,Pathway
Ammonia Recycling,Pathway
Androgen and Estrogen Metabolism,Pathway
Androstenedione Metabolism,Pathway
Arachidonic Acid Metabolism,Pathway
Arginine and Proline Metabolism,Pathway
Beta Oxidation of Very Long Chain Fatty Acids,Pathway
Beta-Alanine Metabolism,Pathway
Betaine Metabolism,Pathway
Bile Acid Biosynthesis,Pathway
Biotin Metabolism,Pathway
Caffeine Metabolism,Pathway
Cardiolipin Biosynthesis,Pathway
Carnitine Synthesis,Pathway
Catecholamine Biosynthesis,Pathway
Citric Acid Cycle,Pathway
Cysteine Metabolism,Pathway
Degradation of Superoxides,Pathway
Estrone Metabolism,Pathway
Ethanol Degradation,Pathway
Fatty Acid Biosynthesis,Pathway
Fatty Acid Elongation In Mitochondria,Pathway
Fatty acid Metabolism,Pathway
Folate Metabolism,Pathway
Fructose and Mannose Degradation,Pathway
Galactose Metabolism,Pathway
Gluconeogenesis,Pathway
Glucose-Alanine Cycle,Pathway
Glutamate Metabolism,Pathway
Glutathione Metabolism,Pathway
Glycerol Phosphate Shuttle,Pathway
Glycerolipid Metabolism,Pathway
Glycine and Serine Metabolism,Pathway
Histidine Metabolism,Pathway
Homocysteine Degradation,Pathway
Lysine Degradation,Pathway
Methionine Metabolism,Pathway
Methylhistidine Metabolism,Pathway
Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids,Pathway
Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids,Pathway
Mitochondrial Electron Transport Chain,Pathway
Nicotinate and Nicotinamide Metabolism,Pathway
Oxidation of Branched Chain Fatty Acids,Pathway
Pantothenate and CoA Biosynthesis,Pathway
Pentose Phosphate Pathway,Pathway
Phenylacetate Metabolism,Pathway
Phenylalanine and Tyrosine Metabolism,Pathway
Phosphatidylcholine Biosynthesis,Pathway
Phosphatidylethanolamine Biosynthesis,Pathway
Phosphatidylinositol Phosphate Metabolism,Pathway
Phospholipid Biosynthesis,Pathway
Phytanic Acid Peroxisomal Oxidation,Pathway
Plasmalogen Synthesis,Pathway
Porphyrin Metabolism,Pathway
Propanoate Metabolism,Pathway
Pterine Biosynthesis,Pathway
Purine Metabolism,Pathway
Pyrimidine Metabolism,Pathway
Pyruvate Metabolism,Pathway
Retinol Metabolism,Pathway
Riboflavin Metabolism,Pathway
Selenoamino Acid Metabolism,Pathway
Spermidine and Spermine Biosynthesis,Pathway
Sphingolipid Metabolism,Pathway
Starch and Sucrose Metabolism,Pathway
Steroid Biosynthesis,Pathway
Steroidogenesis,Pathway
Taurine and Hypotaurine Metabolism,Pathway
Threonine and 2-Oxobutanoate Degradation,Pathway
Thyroid hormone synthesis,Pathway
Transfer of Acetyl Groups into Mitochondria,Pathway
Tryptophan Metabolism,Pathway
Tyrosine Metabolism,Pathway
Ubiquinone Biosynthesis,Pathway
"Valine, Leucine and Isoleucine Degradation",Pathway
Vitamin B6 Metabolism,Pathway
Vitamin K Metabolism,Pathway
Warburg Effect,Pathway
Pseudomonas,Microbe
Streptomyces,Microbe
Legionella,Microbe
Anoxybacillus,Microbe
Thermococcus,Microbe
Clostridioides,Microbe
Lactobacillus,Microbe
Ciceribacter,Microbe
Chromatium,Microbe
Collinsella,Microbe
Dorea_A,Microbe
Emergencia,Microbe
UBA2212,Microbe
JADFMN01,Microbe
Streptococcus,Microbe
Lysinibacillus,Microbe
Spirillospora,Microbe
Prevotella,Microbe
Epistominella,Microbe
Pseudomonas_E,Microbe
Roseobacter clade NAC11-7 lineage,Microbe
Stenotrophomonas,Microbe
Sporolactobacillus,Microbe
Staphylococcus,Microbe
Renibacterium,Microbe
Acinetobacter,Microbe
Vibrio,Microbe
Muricomes,Microbe
Cutibacterium,Microbe
Azonexus,Microbe
Veillonella,Microbe
Bacillus,Microbe
Neisseria,Microbe
Corynebacterium,Microbe
Enterobacter,Microbe
Microbacterium,Microbe
Psychrobacter,Microbe
Flavobacterium,Microbe
Methylobacterium-Methylorubrum,Microbe
Bradyrhizobium,Microbe
Paracoccus,Microbe
Mycobacterium,Microbe
2-01-FULL-41-12,Microbe
Enterococcus,Microbe
Pauljensenia,Microbe
Porphyromonas,Microbe
RGIG4608,Microbe
Fusobacterium,Microbe
Chryseobacterium,Microbe
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Microbe
Escherichia-Shigella,Microbe
GpXIII,Microbe
Peptostreptococcus,Microbe
Parvimonas,Microbe
Selenomonas,Microbe
Leptotrichia,Microbe
Campylobacter,Microbe
Defluviimonas,Microbe
Luteimonas,Microbe
Thermomonas,Microbe
Sphaerotilus,Microbe
Catonella,Microbe
Ottowia,Microbe
others,Microbe
Cupriavidus,Microbe
Ralstonia,Microbe
Alistipes,Microbe
Moorella,Microbe
AAA536-G10,Microbe
Pedobacter,Microbe
Bulleidia,Microbe
Rhizobium,Microbe
CAG-269,Microbe
Kribbella,Microbe
Promineifilum,Microbe
Roseburia_D,Microbe
UBA1189,Microbe
Haemophilus_D,Microbe
Marinobacterium_A,Microbe
Nocardia,Microbe
Arthrobacter,Microbe
UBA3282,Microbe
Sphaerochaeta,Microbe
Umezakia,Microbe
Aureimonas,Microbe
Thalassospira,Microbe
Nocardioides,Microbe
COE1,Microbe
Streptosporangium,Microbe
CANBCO01,Microbe
UMGS1388,Microbe
Bacteroides,Microbe
Enhydrobacter,Microbe
Cellvibrio,Microbe
Brevundimonas,Microbe
GAS188,Microbe
Isoptericola,Microbe
Blautia_A,Microbe
UMGS2069,Microbe
Saccharofermentans,Microbe
Stagnihabitans,Microbe
Eubacterium_R,Microbe
Ramlibacter,Microbe
Acidovorax,Microbe
Sphingomonas,Microbe
Corallococcus,Microbe
Elizabethkingia,Microbe
Telluria,Microbe
Thauera,Microbe
Ectothiorhodospira,Microbe
Sarcina,Microbe
Klebsiella,Microbe
Clostridium sensu stricto 1,Microbe
Clostridium sensu stricto 12,Microbe
Flavipsychrobacter,Microbe
UBA3789,Microbe
Hydrogenophaga,Microbe
Paenibacillus_S,Microbe
Rheinheimera,Microbe
Competibacter_A,Microbe
Rubrobacter_B,Microbe
Empedobacter,Microbe
Sphingobacterium,Microbe
S5-A14a,Microbe
Cloacibacterium,Microbe
Shewanella,Microbe
CAJQHK01,Microbe
Lepagella,Microbe
Variovorax,Microbe
Andreprevotia,Microbe
Aeromonas,Microbe
Novosphingobium,Microbe
Qipengyuania,Microbe
Erythrobacter,Microbe
Sphingobium,Microbe
Altererythrobacter,Microbe
Rubellimicrobium,Microbe
Roseomonas,Microbe
Ahniella,Microbe
Parasegetibacter,Microbe
Comamonas,Microbe
Alloprevotella,Microbe
F0058,Microbe
Capnocytophaga,Microbe
UMGS1623,Microbe
Paenibacillus,Microbe
Peptoanaerobacter,Microbe
Johnsonella,Microbe
Actinobacillus,Microbe
Treponema,Microbe
Mycoplasma,Microbe
Xanthobacter,Microbe
JAGRKR01,Microbe
Aquimarina,Microbe
TMED6,Microbe
Rothia,Microbe
JAAZPG01,Microbe
Phytophthora,Microbe
SKNL01,Microbe
UBA1450,Microbe
Salmonella,Microbe
Arthrobacter_D,Microbe
Zobellia,Microbe
Hymenobacter,Microbe
Actinomyces,Microbe
Phocaeicola,Microbe
[Eubacterium] nodatum group,Microbe
Oribacterium,Microbe
Rhodobacter,Microbe
Massilia,Microbe
Candidatus Uzinura,Microbe
Bifidobacterium,Microbe
Moraxella,Microbe
Lachnoanaerobaculum,Microbe
Saccharopolyspora,Microbe
Pseudonocardia,Microbe
Kurthia,Microbe
Anaerococcus,Microbe
Peptoniphilus,Microbe
Ezakiella,Microbe
Winogradskyella,Microbe
HGM12619,Microbe
Mucilaginibacter,Microbe
Megasphaera,Microbe
Faecalitalea,Microbe
Erysipelotrichaceae UCG-007,Microbe
Dialister,Microbe
Haemophilus,Microbe
Gardnerella,Microbe
Slackia,Microbe
Rubrivivax,Microbe
Pseudoxanthomonas,Microbe
Sulfitobacter,Microbe
Pseudofulvimonas,Microbe
Arenimonas,Microbe
Hahella,Microbe
Amaricoccus,Microbe
Rubrimonas,Microbe
Hyphomonas,Microbe
Muricauda,Microbe
SM1A02,Microbe
Actinacidiphila,Microbe
Paeniglutamicibacter,Microbe
Pristimantibacillus,Microbe
Lentibacillus,Microbe
E29-bin73,Microbe
Fontisphaera,Microbe
Marinifilum,Microbe
GPS1B09,Microbe
B4GALT1,Gene
CHST1,Gene
GALE,Gene
GALK1,Gene
GALK2,Gene
GALM,Gene
GALT,Gene
GLB1L,Gene
GLB1L2,Gene
GLB1L3,Gene
PGM1,Gene
SLC35A2,Gene
ABCC4,Gene
ABCG2,Gene
SLC17A1,Gene
SLC17A2,Gene
SLC17A3,Gene
SLC17A4,Gene
SLC22A12,Gene
SLC23A1,Gene
SLC2A9,Gene
UMOD,Gene
ABAT,Gene
ADSL,Gene
ADSS1,Gene
ADSS2,Gene
AGXT2,Gene
ALDH5A1,Gene
ASL,Gene
ASNS,Gene
ASS1,Gene
CAD,Gene
CPS1,Gene
FOLH1,Gene
GAD1,Gene
GAD2,Gene
GFPT2,Gene
GLS,Gene
GLUD2,Gene
GLUL,Gene
GOT1L1,Gene
GPT,Gene
GPT2,Gene
IL4I1,Gene
NAT8L,Gene
PPAT,Gene
RIMKLA,Gene
RIMKLB,Gene
ADA,Gene
ADA2,Gene
ADCY1,Gene
ADCY10,Gene
ADCY2,Gene
ADCY3,Gene
ADCY4,Gene
ADCY5,Gene
ADCY7,Gene
ADCY8,Gene
ADCY9,Gene
AK3,Gene
AK4,Gene
AK7,Gene
AK9,Gene
ALB,Gene
ALDH6A1,Gene
ALLC,Gene
ALOX5,Gene
AMPD2,Gene
AMPD3,Gene
ASGR1,Gene
ASGR2,Gene
ATF6B,Gene
ATP1A1,Gene
ATP1A2,Gene
ATP1A3,Gene
ATP1A4,Gene
ATP1B1,Gene
ATP1B2,Gene
ATP1B4,Gene
BMP15,Gene
BMP6,Gene
CANT1,Gene
CANX,Gene
CDIPT,Gene
CREB3L1,Gene
CREB3L2,Gene
CREB3L3,Gene
CREB5,Gene
CYP11A1,Gene
CYP17A1,Gene
CYP19A1,Gene
CYP1A1,Gene
CYP1B1,Gene
DGUOK,Gene
DUOX1,Gene
DUOX2,Gene
DUOXA2,Gene
ENPP1,Gene
ENPP3,Gene
ENPP4,Gene
ENTPD1,Gene
ENTPD5,Gene
FIG4,Gene
FSHB,Gene
FXYD2,Gene
GART,Gene
GDA,Gene
GNAQ,Gene
GNAS,Gene
GPX1,Gene
GPX3,Gene
GPX5,Gene
GPX6,Gene
GPX7,Gene
GSR,Gene
GUCY1A1,Gene
GUCY1A2,Gene
GUCY1B1,Gene
GUCY2C,Gene
GUCY2D,Gene
GUCY2F,Gene
HSD17B1,Gene
HSD17B2,Gene
IGF1,Gene
IGF1R,Gene
IMPDH2,Gene
INPP1,Gene
INPP4A,Gene
INPP4B,Gene
INPP5A,Gene
INPP5B,Gene
INPP5D,Gene
INPP5F,Gene
INPPL1,Gene
INS,Gene
INSR,Gene
IP6K3,Gene
IPMK,Gene
IPPK,Gene
ITPKB,Gene
ITPKC,Gene
ITPR1,Gene
ITPR2,Gene
ITPR3,Gene
IYD,Gene
JMJD7-PLA2G4B,Gene
LDLR,Gene
LHCGR,Gene
LRP2,Gene
MINPP1,Gene
MTM1,Gene
MTMR1,Gene
MTMR14,Gene
MTMR3,Gene
MTMR4,Gene
MTMR6,Gene
MTMR8,Gene
NME3,Gene
NME4,Gene
NME7,Gene
NPR1,Gene
NPR2,Gene
NT5C1A,Gene
NT5C1B,Gene
NT5C1B-RDH14,Gene
NT5E,Gene
NUDT16,Gene
OCRL,Gene
PAX8,Gene
PDE10A,Gene
PDE11A,Gene
PDE1A,Gene
PDE1C,Gene
PDE2A,Gene
PDE3A,Gene
PDE4A,Gene
PDE4B,Gene
PDE4D,Gene
PDE5A,Gene
PDE6A,Gene
PDE6B,Gene
PDE6C,Gene
PDE6D,Gene
PDE9A,Gene
PDIA4,Gene
PGM2,Gene
PI4KA,Gene
PIK3C2A,Gene
PIK3C2B,Gene
PIK3C2G,Gene
PIK3C3,Gene
PIK3CA,Gene
PIK3CD,Gene
PIKFYVE,Gene
PIP4K2B,Gene
PIP4K2C,Gene
PIP5K1A,Gene
PIP5K1B,Gene
PIP5KL1,Gene
PLA2G4A,Gene
PLA2G4B,Gene
PLA2G4C,Gene
PLA2G4D,Gene
PLA2G4E,Gene
PLA2G4F,Gene
PLCB1,Gene
PLCB2,Gene
PLCB3,Gene
PLCB4,Gene
PLCD1,Gene
PLCE1,Gene
PLCG1,Gene
PLCG2,Gene
PLCH1,Gene
PLCH2,Gene
PLCZ1,Gene
PPIP5K1,Gene
PPIP5K2,Gene
PRKACA,Gene
PRKCA,Gene
PRKCB,Gene
PRKCG,Gene
PRPS1,Gene
PRPS1L1,Gene
PRUNE1,Gene
PTEN,Gene
PTGS2,Gene
RRM1,Gene
RRM2,Gene
SCARB1,Gene
SERPINA7,Gene
SLC26A4,Gene
SLC5A5,Gene
STAR,Gene
SYNJ1,Gene
SYNJ2,Gene
TG,Gene
TPO,Gene
TSHB,Gene
TSHR,Gene
TTF1,Gene
TTF2,Gene
TTR,Gene
XDH,Gene
BCAN,Gene
BGN,Gene
CHPF2,Gene
CHST11,Gene
CHST12,Gene
CHST13,Gene
CHST3,Gene
CHST7,Gene
CHST9,Gene
CHSY1,Gene
CHSY3,Gene
CSGALNACT1,Gene
CSPG4,Gene
CSPG5,Gene
DCN,Gene
NCAN,Gene
UST,Gene
VCAN,Gene
ABCA1,Gene
ABCA3,Gene
ABCG5,Gene
ABCG8,Gene
ABHD12,Gene
ABHD12B,Gene
ABHD2,Gene
ABHD3,Gene
ABHD6,Gene
ABHD8,Gene
ACSL1,Gene
AGK,Gene
AGPAT1,Gene
AGPAT2,Gene
AGPAT3,Gene
AGPAT4,Gene
ALOX15,Gene
ANGPTL4,Gene
APOA1,Gene
APOA5,Gene
APOB,Gene
APOBEC1,Gene
APOC1,Gene
APOC2,Gene
APOC3,Gene
APOE,Gene
APOF,Gene
APOH,Gene
ATM,Gene
AVIL,Gene
BECN1,Gene
BLVRA,Gene
BMX,Gene
C3,Gene
CAPN2,Gene
CAV1,Gene
CAV3,Gene
CD36,Gene
CHAT,Gene
CHKA,Gene
CHRM5,Gene
CIDEB,Gene
CIDEC,Gene
CPT1A,Gene
CRLS1,Gene
CWH43,Gene
CYP27A1,Gene
DAGLA,Gene
DAGLB,Gene
DDHD2,Gene
DGAT1,Gene
DGAT2,Gene
DGAT2L6,Gene
DGKA,Gene
DGKB,Gene
DGKD,Gene
DGKG,Gene
DGKI,Gene
DGKK,Gene
DGKQ,Gene
DGKZ,Gene
DPM2,Gene
EFR3B,Gene
ENPP2,Gene
ENPP6,Gene
ETNK1,Gene
ETNK2,Gene
FABP3,Gene
FABP5,Gene
FBXW7,Gene
FITM2,Gene
FUT1,Gene
GAL3ST1,Gene
GALR2,Gene
GDE1,Gene
GDPD3,Gene
GK,Gene
GK2,Gene
GK5,Gene
GNB3,Gene
GPIHBP1,Gene
GPLD1,Gene
GPR82,Gene
HADHA,Gene
HTR2A,Gene
HTR2B,Gene
HTR2C,Gene
INPP5E,Gene
INPP5J,Gene
INPP5K,Gene
IP6K1,Gene
IP6K2,Gene
ITPKA,Gene
LCAT,Gene
LDLRAP1,Gene
LIPA,Gene
LIPC,Gene
LIPE,Gene
LIPG,Gene
LIPH,Gene
LMF1,Gene
LPA,Gene
LPCAT1,Gene
LPCAT3,Gene
LPIN1,Gene
LPIN2,Gene
LPIN3,Gene
LPL,Gene
LRP1,Gene
LRPAP1,Gene
LYPLA2,Gene
MBOAT1,Gene
MBOAT2,Gene
MBOAT7,Gene
MECP2,Gene
MFSD2A,Gene
MGLL,Gene
MOGAT1,Gene
MOGAT2,Gene
MOGAT3,Gene
MTMR7,Gene
MYLIP,Gene
NAPEPLD,Gene
NCEH1,Gene
NKX2-3,Gene
NR1H2,Gene
NR1H3,Gene
NR1H4,Gene
OC90,Gene
OSBPL10,Gene
OSBPL5,Gene
PCK1,Gene
PCK2,Gene
PCSK9,Gene
PCYT1A,Gene
PCYT1B,Gene
PCYT2,Gene
PDGFA,Gene
PDGFB,Gene
PEMT,Gene
PGAP1,Gene
PGAP2,Gene
PGAP3,Gene
PGS1,Gene
PHB2,Gene
PI4KB,Gene
PIGA,Gene
PIGL,Gene
PIGQ,Gene
PIGS,Gene
PIGT,Gene
PIGV,Gene
PIGW,Gene
PIGX,Gene
PIGZ,Gene
PIK3CB,Gene
PIK3R1,Gene
PIK3R5,Gene
PIP4K2A,Gene
PIP5K1C,Gene
PISD,Gene
PITPNM1,Gene
PITPNM2,Gene
PITPNM3,Gene
PLA1A,Gene
PLA2G1B,Gene
PLA2G2A,Gene
PLA2G2C,Gene
PLA2G2D,Gene
PLA2G3,Gene
PLA2G5,Gene
PLA2G7,Gene
PLB1,Gene
PLCL1,Gene
PLCL2,Gene
PLD1,Gene
PLD2,Gene
PLIN5,Gene
PLTP,Gene
PNLIP,Gene
PNLIPRP1,Gene
PNPLA1,Gene
PNPLA2,Gene
PNPLA3,Gene
PNPLA4,Gene
PNPLA5,Gene
PNPLA6,Gene
PNPLA7,Gene
PON1,Gene
PRDX6,Gene
PRKAA1,Gene
PTDSS1,Gene
PTDSS2,Gene
PTPN11,Gene
PTPRQ,Gene
SERINC2,Gene
SERINC5,Gene
SERPINA12,Gene
SH3YL1,Gene
SLC22A4,Gene
SLC27A1,Gene
SLC44A1,Gene
SLC44A2,Gene
SLC44A3,Gene
SLC44A4,Gene
SOAT1,Gene
SOAT2,Gene
SORL1,Gene
SORT1,Gene
SPATA18,Gene
SREBF1,Gene
STARD3,Gene
TBL1XR1,Gene
THRSP,Gene
TNFAIP8L3,Gene
TNXB,Gene
TPTE2,Gene
TTC7A,Gene
TTC7B,Gene
UVRAG,Gene
VAC14,Gene
VDAC1,Gene
BMP4,Gene
ESR1,Gene
FGF1,Gene
FGF10,Gene
FGFR2,Gene
HNF1B,Gene
HOXD13,Gene
NKD1,Gene
PPP2R3A,Gene
PTK7,Gene
SFRP1,Gene
SFRP2,Gene
SHH,Gene
SIX1,Gene
SOX9,Gene
SPRY1,Gene
SPRY2,Gene
TFAP2C,Gene
TNC,Gene
VANGL2,Gene
WNT11,Gene
WNT3A,Gene
WNT5A,Gene
YAP1,Gene
ABCA2,Gene
ABCC8,Gene
ABL1,Gene
ADORA2A,Gene
AGER,Gene
AKT1,Gene
AKT2,Gene
ANO1,Gene
APCDD1,Gene
ARHGEF10,Gene
ARSG,Gene
ASCL1,Gene
ASCL2,Gene
ATOH1,Gene
ATXN1,Gene
B4GALT6,Gene
BIN1,Gene
BMP2,Gene
BNIP3,Gene
C1QA,Gene
CCDC85C,Gene
CCL2,Gene
CD9,Gene
CDH2,Gene
CDK5,Gene
CDK5R1,Gene
CDK5R2,Gene
CDK6,Gene
CHRM1,Gene
CLCF1,Gene
CLU,Gene
CNP,Gene
CNTF,Gene
CNTN1,Gene
CNTN2,Gene
CNTNAP1,Gene
COL3A1,Gene
COL6A1,Gene
CRB1,Gene
CSF1,Gene
CSF1R,Gene
CSK,Gene
CUL4B,Gene
CX3CL1,Gene
CX3CR1,Gene
DAAM2,Gene
DAB1,Gene
DAB2IP,Gene
DAG1,Gene
DICER1,Gene
DISC1,Gene
DLG5,Gene
DLL1,Gene
DLX1,Gene
DLX2,Gene
DNER,Gene
DRD1,Gene
DRD3,Gene
DTX1,Gene
DUSP10,Gene
EEF2,Gene
